rank,score,sharpe,profit_factor,win_rate,trades,total_return,max_drawdown,avg_hold,use_slope,use_trend_sep,use_vcp,use_breakout,use_orb,use_rsi_rise,use_rsi_delta,use_rsi_lvl,use_adx,use_52w_high,use_ma20
45,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,1,1,0,1,0
46,25.5114,3.9056,6.532,0.7433,1009,1845.95,-5.22,3.05,0,0,1,0,1,1,1,1,0,1,1
47,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,0,1,1,1,0,0
48,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,0,1,1,1,0,1
49,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,1,1,1,1,0,0
50,25.4602,3.4282,7.4266,0.673,1315,5006.0,-7.23,3.29,0,1,0,0,1,1,1,1,1,0,1
51,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,0,0,1,1,1,0
52,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,0,0,1,1,1,1
53,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,1,0,1,1,1,0
54,25.2703,3.4582,7.3074,0.6733,1304,4437.67,-7.22,3.26,0,1,0,0,1,1,0,1,1,1,1
55,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,0,1,0,1,0
56,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,0,1,0,1,1
57,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,1,1,0,1,0
58,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,0,1,1,0,1,1
59,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,0,1,0,1,0
60,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,0,1,0,1,1
61,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,1,1,0,1,0
62,25.2401,3.897,6.4767,0.7433,1009,1848.32,-5.22,3.06,0,0,1,0,0,1,1,1,0,1,1
63,25.123,3.4661,7.2481,0.6631,1309,5085.79,-7.15,3.31,1,1,0,0,1,0,0,1,1,0,0
64,25.123,3.4661,7.2481,0.6631,1309,5085.79,-7.15,3.31,1,1,0,0,1,0,0,1,1,0,1
65,25.123,3.4661,7.2481,0.6631,1309,5085.79,-7.15,3.31,1,1,0,0,1,1,0,1,1,0,0
66,25.123,3.4661,7.2481,0.6631,1309,5085.79,-7.15,3.31,1,1,0,0,1,1,0,1,1,0,1
67,24.8285,3.5251,7.0434,0.6735,1360,5323.51,-6.59,3.24,0,0,0,0,1,0,0,1,1,1,0
68,24.8285,3.5251,7.0434,0.6735,1360,5323.51,-6.59,3.24,0,0,0,0,1,0,0,1,1,1,1
69,24.8285,3.5251,7.0434,0.6735,1360,5323.51,-6.59,3.24,0,0,0,0,1,1,0,1,1,1,0
70,24.8285,3.5251,7.0434,0.6735,1360,5323.51,-6.59,3.24,0,0,0,0,1,1,0,1,1,1,1
71,24.7938,3.5564,6.9717,0.6701,1379,7341.17,-6.99,3.27,1,0,0,0,1,0,0,1,1,0,0
72,24.7938,3.5564,6.9717,0.6701,1379,7341.17,-6.99,3.27,1,0,0,0,1,0,0,1,1,0,1
73,24.7938,3.5564,6.9717,0.6701,1379,7341.17,-6.99,3.27,1,0,0,0,1,1,0,1,1,0,0
74,24.7938,3.5564,6.9717,0.6701,1379,7341.17,-6.99,3.27,1,0,0,0,1,1,0,1,1,0,1
75,24.7799,3.406,7.2754,0.6669,1315,5117.71,-7.17,3.29,0,1,0,0,1,0,0,1,1,0,0
76,24.7799,3.406,7.2754,0.6669,1315,5117.71,-7.17,3.29,0,1,0,0,1,0,0,1,1,0,1
77,24.7799,3.406,7.2754,0.6669,1315,5117.71,-7.17,3.29,0,1,0,0,1,1,0,1,1,0,0
78,24.7799,3.406,7.2754,0.6669,1315,5117.71,-7.17,3.29,0,1,0,0,1,1,0,1,1,0,1
79,24.7138,3.4509,7.1615,0.6676,1387,7111.42,-8.3,3.29,0,0,0,0,1,0,1,1,1,0,0
80,24.7138,3.4509,7.1615,0.6676,1387,7111.42,-8.3,3.29,0,0,0,0,1,0,1,1,1,0,1
81,24.7138,3.4509,7.1615,0.6676,1387,7111.42,-8.3,3.29,0,0,0,0,1,1,1,1,1,0,0
82,24.7138,3.4509,7.1615,0.6676,1387,7111.42,-8.3,3.29,0,0,0,0,1,1,1,1,1,0,1
83,24.6665,3.7402,6.5949,0.6723,1474,8290.49,-8.09,3.35,0,1,0,0,1,0,1,0,0,0,0
84,24.6665,3.7402,6.5949,0.6723,1474,8290.49,-8.09,3.35,0,1,0,0,1,1,1,0,0,0,0
85,24.3997,3.6684,6.6513,0.6793,1422,9403.74,-8.08,3.45,0,1,0,0,1,0,0,0,0,0,1
86,24.3997,3.6684,6.6513,0.6793,1422,9403.74,-8.08,3.45,0,1,0,0,1,1,0,0,0,0,1
87,24.3044,3.39,7.1695,0.6717,1334,4881.81,-13.09,3.23,0,1,0,0,1,0,1,0,1,1,0
88,24.3044,3.39,7.1695,0.6717,1334,4881.81,-13.09,3.23,0,1,0,0,1,1,1,0,1,1,0
89,24.265,3.7431,6.4826,0.674,1457,8336.26,-8.08,3.38,0,1,0,0,1,0,0,0,0,0,0
90,24.265,3.7431,6.4826,0.674,1457,8336.26,-8.08,3.38,0,1,0,0,1,1,0,0,0,0,0
91,24.2545,3.6709,6.6072,0.6785,1431,8852.34,-8.09,3.43,0,1,0,0,1,0,1,0,0,0,1
92,24.2545,3.6709,6.6072,0.6785,1431,8852.34,-8.09,3.43,0,1,0,0,1,1,1,0,0,0,1
93,24.2321,3.6714,6.6002,0.669,1429,8867.42,-7.98,3.43,1,0,0,0,1,0,1,0,0,0,1
94,24.2321,3.6714,6.6002,0.669,1429,8867.42,-7.98,3.43,1,0,0,0,1,1,1,0,0,0,1
95,24.2067,3.9113,6.189,0.7361,1042,1963.19,-5.06,3.05,0,0,1,0,0,0,0,0,0,1,0
96,24.2067,3.9113,6.189,0.7361,1042,1963.19,-5.06,3.05,0,0,1,0,0,0,1,0,0,1,0
97,24.2067,3.9113,6.189,0.7361,1042,1963.19,-5.06,3.05,0,0,1,0,0,1,0,0,0,1,0
98,24.2067,3.9113,6.189,0.7361,1042,1963.19,-5.06,3.05,0,0,1,0,0,1,1,0,0,1,0
99,24.0485,3.9521,6.085,0.7375,1040,1960.36,-5.06,3.05,0,0,1,0,1,0,0,0,0,1,0
100,24.0485,3.9521,6.085,0.7375,1040,1960.36,-5.06,3.05,0,0,1,0,1,0,1,0,0,1,0
101,24.0485,3.9521,6.085,0.7375,1040,1960.36,-5.06,3.05,0,0,1,0,1,1,0,0,0,1,0
102,24.0485,3.9521,6.085,0.7375,1040,1960.36,-5.06,3.05,0,0,1,0,1,1,1,0,0,1,0
103,23.9583,3.583,6.6867,0.6755,1439,10805.91,-7.53,3.41,0,1,0,0,1,0,0,1,0,0,0
104,23.9583,3.583,6.6867,0.6755,1439,10805.91,-7.53,3.41,0,1,0,0,1,0,0,1,0,0,1
105,23.9583,3.583,6.6867,0.6755,1439,10805.91,-7.53,3.41,0,1,0,0,1,1,0,1,0,0,0
106,23.9583,3.583,6.6867,0.6755,1439,10805.91,-7.53,3.41,0,1,0,0,1,1,0,1,0,0,1
107,23.9509,3.3661,7.1153,0.671,1383,4735.04,-12.98,3.2,0,0,0,0,1,0,1,0,1,1,0
